País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,Slovan Bratislava W vs Piestanske Cajky W,71-75,Finished,https://www.flashscore.com/match/basketball/piestanske-cajky-E7ika9oT/slovan-bratislava-tjiCHcFO/?mid=nBHGz97N
,,,Slavia Banska Bystrica W vs MBK Ruzomberok W,---,Postponed,https://www.flashscore.com/match/basketball/ruzomberok-hbxgTaWf/slavia-banska-bystrica-4llAK2zr/?mid=nDUEAFlf
,,,Young Angels Kosice W vs Samorin W,58-64,Finished,https://www.flashscore.com/match/basketball/samorin-61tcSJo1/young-angels-kosice-8zYoSEKe/?mid=jkRHTZgt
,,,Goyang Sono vs Anyang JungKwanJang,75-73,Finished,https://www.flashscore.com/match/basketball/anyang-jungkwanjang-E7zW2PzK/goyang-sono-lYbp8g27/?mid=lOs9HWNi
,,,Wonju DB vs KCC Egis,84-104,Finished,https://www.flashscore.com/match/basketball/kcc-egis-zHyS35LD/wonju-db-promy-pldXEHfR/?mid=pjyIFAh4
,,,Uppsala W vs Alvik W,74-42,Finished,https://www.flashscore.com/match/basketball/alvik-jamwHciC/uppsala-A9ZbR5sA/?mid=l4JaGhqJ
,,,Frankivsk-Prykarpattia W vs Budivelnyk W,52-68,Finished,https://www.flashscore.com/match/basketball/budivelnyk-SIpqkx70/frankivsk-prykarpattia-IsZ4KAZC/?mid=0SdHFbnf
,,,Rip City Remix vs Iowa Wolves,117-136,Finished,https://www.flashscore.com/match/basketball/iowa-wolves-MTOmCR0e/rip-city-remix-GrgYVmLA/?mid=Mq2HhSxq
,,,Santa Cruz Warriors vs Birmingham Squadron,121-117,Finished,https://www.flashscore.com/match/basketball/birmingham-squadron-0IIxdRDj/santa-cruz-warriors-hQEJvBy7/?mid=rajQj67e
,,,Cleveland State W vs Oakland W,81-80,After Overtime,https://www.flashscore.com/match/basketball/cleveland-state-lWMfq3op/oakland-nRkLZeDT/?mid=nZAw8eK6
,,,IPFW W vs Robert Morris W,73-43,Finished,https://www.flashscore.com/match/basketball/ipfw-SOuFzrcU/robert-morris-EqXwG69M/?mid=QqdXTxsQ
,,,Miami (Ohio) W vs Kent State W,71-52,Finished,https://www.flashscore.com/match/basketball/kent-state-6BB8niJL/miami-ohio-dCOwPyBa/?mid=Yclht6Y8
,,,Navy W vs Loyola Maryland Greyhounds W,72-50,Finished,https://www.flashscore.com/match/basketball/loyola-maryland-greyhounds-YLglKrJH/navy-CChhJ2YN/?mid=t416I2t2
,,,Northern Illinois W vs Buffalo W,56-53,Finished,https://www.flashscore.com/match/basketball/buffalo-8YUT7nNb/northern-illinois-p4i9gL5t/?mid=vBJhvp3L
,,,Northern Kentucky Norse W vs IU Indy W,72-74,Finished,https://www.flashscore.com/match/basketball/iu-indy-tUqID7SG/northern-kentucky-norse-SA9JDlJk/?mid=Kn9o6ZlJ
,,,Western Michigan W vs Toledo W,49-56,Finished,https://www.flashscore.com/match/basketball/toledo-rockets-htgQJgGa/western-michigan-Yq0EyoIq/?mid=Gj1pcUAl
,,,Youngstown State W vs Wright State W,76-60,Finished,https://www.flashscore.com/match/basketball/wright-state-UJ5f9hC4/youngstown-state-6H6h5HtS/?mid=v97V9Hkf
,,,UTSA Roadrunners W vs Tulsa Golden Hurricane W,41-53,Finished,https://www.flashscore.com/match/basketball/tulsa-golden-hurricane-pCeP0A6h/utsa-roadrunners-2iFc5hbE/?mid=4KRsQgrB
,,,Memphis Tigers W vs UAB W,76-79,After Overtime,https://www.flashscore.com/match/basketball/memphis-tigers-vRCA7XBM/uab-GtunRbZK/?mid=dI6MIBzo
