matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5,matchLink
g_3_bD9hNv94,23.11. 19:00,Basket Napoli,Sassari,86,75,24,24,15,23,,21,18,18,18,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/sassari-CQMh2ve4/?mid=bD9hNv94
g_3_OOpd7iUQ,23.11. 18:00,Cantu,Virtus Bologna,77,89,15,20,21,21,,24,23,23,19,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/virtus-bologna-YwDFycYd/?mid=OOpd7iUQ
g_3_jc9b1cno,23.11. 17:00,Tortona,Venezia,90,98,22,25,17,26,,22,30,22,24,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/venezia-nR1rGe9M/?mid=jc9b1cno
g_3_baUJ8ufB,23.11. 16:00,Trapani,Reggiana,88,75,18,29,20,21,,25,21,22,7,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/trapani-xxXaWq1q/?mid=baUJ8ufB
g_3_KSc1LIwH,23.11. 15:30,Varese,Udine,59,66,17,10,9,23,,21,18,13,14,,https://www.flashscore.com/match/basketball/udine-42obriQL/varese-4hrT8BJq/?mid=KSc1LIwH
g_3_65ioP0vh,23.11. 15:00,Trieste,Olimpia Milano,86,82,30,14,26,16,,21,20,24,17,,https://www.flashscore.com/match/basketball/milan-tUT82gR9/pallacanestro-trieste-f7SJ0Orj/?mid=65ioP0vh
g_3_fRNS6JON,22.11. 17:15,Trento,Treviso,81,68,20,19,20,22,,24,10,18,16,,https://www.flashscore.com/match/basketball/trento-ITNxcZJl/treviso-SGAOCDed/?mid=fRNS6JON
g_3_CrWBA1Pb,21.11. 19:30,Brescia,Cremona,83,72,23,14,22,24,,21,19,14,18,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/cremona-vZoLXHUj/?mid=CrWBA1Pb
g_3_vyBhmWxe,17.11. 19:00,Treviso,Virtus Bologna,79,101,25,20,9,25,,26,25,18,32,,https://www.flashscore.com/match/basketball/treviso-SGAOCDed/virtus-bologna-YwDFycYd/?mid=vyBhmWxe
g_3_WOAxd2A5,16.11. 18:00,Basket Napoli,Brescia,72,85,15,18,16,23,,23,21,12,29,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/brescia-AcIKtbth/?mid=WOAxd2A5
g_3_nThokh8r,16.11. 17:00,Olimpia Milano,Trapani,80,86,15,23,22,20,,21,23,21,21,,https://www.flashscore.com/match/basketball/milan-tUT82gR9/trapani-xxXaWq1q/?mid=nThokh8r
g_3_4x9pftuI,16.11. 16:30,Reggiana,Venezia,79,89,28,19,10,22,,12,34,22,21,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/venezia-nR1rGe9M/?mid=4x9pftuI
g_3_042ghK9U,16.11. 16:00,Varese,Cantu,91,82,18,25,27,21,,21,19,17,25,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/varese-4hrT8BJq/?mid=042ghK9U
g_3_0ja1oA77,16.11. 11:00,Sassari,Trento,89,88,28,21,23,17,,21,29,22,16,,https://www.flashscore.com/match/basketball/sassari-CQMh2ve4/trento-ITNxcZJl/?mid=0ja1oA77
g_3_Sdim9DaE,15.11. 19:30,Cremona,Trieste,113,94,27,23,35,28,,22,24,23,25,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/pallacanestro-trieste-f7SJ0Orj/?mid=Sdim9DaE
g_3_jTs3CNfn,15.11. 19:00,Udine,Tortona,90,94,15,21,26,28,,23,25,24,22,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/udine-42obriQL/?mid=jTs3CNfn
g_3_SdyPCzqh,12.11. 19:00,Trieste,Tortona,91,81,15,26,23,27,,29,14,18,20,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/pallacanestro-trieste-f7SJ0Orj/?mid=SdyPCzqh
g_3_xQHTcOug,09.11. 19:00AOT,Cantu,Udine,90,85,20,21,13,21,15,17,24,20,14,10,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/udine-42obriQL/?mid=xQHTcOug
g_3_UaELapBt,09.11. 18:00,Venezia,Sassari,89,76,12,25,31,21,,15,20,24,17,,https://www.flashscore.com/match/basketball/sassari-CQMh2ve4/venezia-nR1rGe9M/?mid=UaELapBt
g_3_xfqMlOd2,09.11. 17:30,Virtus Bologna,Reggiana,80,78,17,18,21,24,,17,15,19,27,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/virtus-bologna-YwDFycYd/?mid=xfqMlOd2
g_3_QolBusQO,09.11. 17:00,Tortona,Varese,90,87,23,17,31,19,,23,25,24,15,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/varese-4hrT8BJq/?mid=QolBusQO
g_3_ILp3s3eC,09.11. 16:30,Trento,Basket Napoli,87,93,15,24,24,24,,20,21,28,24,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/trento-ITNxcZJl/?mid=ILp3s3eC
g_3_SrCEfEpL,09.11. 16:00,Olimpia Milano,Treviso,87,63,25,21,21,20,,13,16,16,18,,https://www.flashscore.com/match/basketball/milan-tUT82gR9/treviso-SGAOCDed/?mid=SrCEfEpL
g_3_C8F2qPQa,09.11. 15:00,Brescia,Trieste,98,75,32,21,18,27,,26,18,16,15,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/pallacanestro-trieste-f7SJ0Orj/?mid=C8F2qPQa
g_3_fVD6dzG8,09.11. 11:00,Trapani,Cremona,96,90,22,28,26,20,,28,20,23,19,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/trapani-xxXaWq1q/?mid=fVD6dzG8
g_3_veHfoodm,07.11. 19:45,Reggiana,Treviso,88,89,24,19,22,23,,23,18,21,27,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/treviso-SGAOCDed/?mid=veHfoodm
g_3_jwoEjpSk,07.11. 19:30,Udine,Venezia,87,94,17,23,22,25,,23,13,26,32,,https://www.flashscore.com/match/basketball/udine-42obriQL/venezia-nR1rGe9M/?mid=jwoEjpSk
