País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
SLOVENIA,Liga OTP banka,https://www.flashscore.com/basketball/slovenia/liga-otp-banka/,Tajfun Sentjur vs Sencur,68-74,Finalizado,https://www.flashscore.com/match/basketball/sencur-QaoB3gNj/tajfun-sentjur-vmiAQGU3/?mid=xM6aNp2s,
SOUTH KOREA,KBL - Play Offs,https://www.flashscore.com/basketball/south-korea/kbl/,KCC Egis vs Anyang JungKwanJang,83-79,Finalizado,https://www.flashscore.com/match/basketball/anyang-jungkwanjang-E7zW2PzK/kcc-egis-zHyS35LD/?mid=ttrpn0jJ,
SWITZERLAND,SB League - Play Offs,https://www.flashscore.com/basketball/switzerland/sb-league/,Lausanne Basket vs Neuchatel,85-82,Finalizado,https://www.flashscore.com/match/basketball/lausanne-basket-AThl6U0f/neuchatel-UoY0AJ96/?mid=fwBThhAs,
SWITZERLAND,SB League - Play Offs,https://www.flashscore.com/basketball/switzerland/sb-league/,Sdent BBC Nyon vs Geneva Lions,82-91,Finalizado,https://www.flashscore.com/match/basketball/geneva-lions-ML34PI1F/sdent-bbc-nyon-Uw3q1ef2/?mid=b7PcbEnK,
TURKEY,TKBL Women - Play Offs,https://www.flashscore.com/basketball/turkey/tkbl-women/,Mersin Genclerbirligi W vs Fenerbahce 2 W,71-80,Finalizado,https://www.flashscore.com/match/basketball/fenerbahce-6w3J9bPN/mersin-genclerbirligi-lMCok4if/?mid=Yg56hLSN,
TURKEY,TKBL Women - Play Offs,https://www.flashscore.com/basketball/turkey/tkbl-women/,Yalova W vs Turgutlu W,68-72,AOT,https://www.flashscore.com/match/basketball/turgutlu-fFHY8kh0/yalova-x26eO3E1/?mid=d44w7KsH,
VENEZUELA,Superliga,https://www.flashscore.com/basketball/venezuela/superliga/,Brillantes vs Diablos,28-18,Q22,https://www.flashscore.com/match/basketball/brillantes-8QRGBFVf/diablos-YeMFmguE/?mid=OSsd8MVP,
VENEZUELA,Superliga,https://www.flashscore.com/basketball/venezuela/superliga/,Cocodrilos vs Pioneros,---,Postp,https://www.flashscore.com/match/basketball/cocodrilos-z5NoWCMn/pioneros-0xtmPM6E/?mid=ADXCbGkn,
VENEZUELA,Superliga,https://www.flashscore.com/basketball/venezuela/superliga/,Cocodrilos vs Spartans,30-18,Q25,https://www.flashscore.com/match/basketball/cocodrilos-z5NoWCMn/spartans-SSsI9g07/?mid=vgmR20gm,
VENEZUELA,Superliga,https://www.flashscore.com/basketball/venezuela/superliga/,Panteras vs Trotamundos,27-34,Q24,https://www.flashscore.com/match/basketball/panteras-vBAydIom/trotamundos-8SJ51vOP/?mid=C6oZ0vOa,
VENEZUELA,Superliga,https://www.flashscore.com/basketball/venezuela/superliga/,Spartans vs Diablos,---,Postp,https://www.flashscore.com/match/basketball/diablos-YeMFmguE/spartans-SSsI9g07/?mid=rRVKdfKb,
WORLD,Friendly International Women,https://www.flashscore.com/basketball/world/friendly-international-women/,Minnesota Lynx W vs Nigeria W,88-79,Finalizado,https://www.flashscore.com/match/basketball/minnesota-lynx-AeUcuq4r/nigeria-MZXv2R2h/?mid=KzPUJwCl,
